Rank,Knights,rating,phi,comparisons,win %,beats best,beats median,beats worst,expansion,Qvist category,Last Update:,24-Apr-2020 21:14:55 UTC
1,Sir Bailey,2.29,0.27,89,89%,50%,89%,100%,Dark Ages,Knights,Rate cards at:,https://sites.google.com/view/domrating
2,Dame Molly,0.98,0.21,111,58%,22%,69%,98%,Dark Ages,Knights,,
3,Sir Destry,0.74,0.21,116,64%,18%,63%,98%,Dark Ages,Knights,,
4,Sir Michael,0.43,0.18,151,55%,14%,56%,97%,Dark Ages,Knights,,
5,Dame Anna,0.22,0.19,132,48%,12%,51%,97%,Dark Ages,Knights,,
6,Dame Natalie,0.16,0.19,138,51%,11%,49%,96%,Dark Ages,Knights,,
7,Dame Sylvia,0.03,0.20,123,53%,10%,46%,96%,Dark Ages,Knights,,
8,Sir Vander,-0.90,0.20,131,37%,4%,25%,91%,Dark Ages,Knights,,
9,Sir Martin,-1.39,0.21,131,36%,3%,17%,86%,Dark Ages,Knights,,
10,Dame Josephine,-3.21,0.36,76,3%,0%,3%,50%,Dark Ages,Knights,,